"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"100uF";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";
"C7";"1000pF ";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"5uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"D1";"B";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"D2";"B";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"D3";"B";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"D4";"B";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"EN";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"IO0";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"J1";"ZX62R-AB-5P";"ZX62R-AB-5P";"ZX62R-B-5PA";"";"";
"J3";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"CONN MICRO SD R/A PUSH-PUSH SMD";"";
"J4";"XM3B-0942-132L";"XM3B-0942-132L";"XM3B-0942-132L";"";"";
"Q1";"BSS138";"BSS138";"SOT23-N-MOSFET";"";"";
"Q2";"BSS138";"BSS138";"SOT23-N-MOSFET";"";"";
"R1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"24k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"47k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"100";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"100";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R14";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R15";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R16";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R24";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"SP1";"PKLCS1212E4001-R1";"PKLCS1212E4001-R1";"PKLCS1212E4001-R1";"";"";
"U1";"ADM3202ARUZ";"ADM3202ARUZ";"TSSOP16-AD";"";"";
"U2";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"";"";
"U3";"ADP3338AKCZ-3.3";"ADP3338AKCZ-3.3";"SOT233";"";"";
"U4";"CP2104";"CP2104";"QFN24-SILABS";"";"";
